aX,aY,aZ,gX,gY,gZ
-0.016,0.287,-0.558,19.409,-119.690,-35.278
-0.037,0.234,-0.758,21.118,-109.802,-21.912
-0.050,0.178,-0.820,30.212,-93.018,-6.653
-0.047,0.125,-0.790,44.434,-68.665,6.531
-0.053,0.071,-0.743,58.105,-42.419,15.869
-0.053,0.032,-0.684,68.176,-19.226,21.484
-0.051,-0.003,-0.620,68.298,0.244,24.536
-0.050,-0.049,-0.553,60.913,18.005,25.208
-0.048,-0.092,-0.445,49.438,34.790,24.597
-0.066,-0.115,-0.299,36.194,49.805,23.010
-0.080,-0.138,-0.159,23.621,61.462,20.813
-0.081,-0.139,-0.029,12.756,68.115,20.325
-0.078,-0.157,0.064,3.235,70.679,19.958
-0.069,-0.195,0.115,-5.798,71.716,19.043
-0.049,-0.243,0.163,-14.832,73.730,18.494
-0.043,-0.270,0.260,-25.269,77.209,18.066
-0.055,-0.281,0.407,-35.645,81.116,16.846
-0.063,-0.294,0.577,-45.227,83.374,13.855
-0.081,-0.291,0.757,-53.528,83.130,9.705
-0.103,-0.264,0.917,-55.481,80.811,5.798
-0.115,-0.240,1.016,-46.814,77.576,2.808
-0.094,-0.214,1.069,-33.813,74.341,1.770
-0.080,-0.168,1.141,-20.691,71.228,4.333
-0.076,-0.157,1.244,-9.277,69.214,7.935
-0.086,-0.163,1.373,-4.089,66.711,11.108
-0.095,-0.153,1.503,-6.104,61.157,13.794
